"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Tabula Muris Senis droplet All colData","Cell metadata for the Tabula Muris Senis droplet All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/All_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet All counts","Count matrix for the Tabula Muris Senis droplet All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/All_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet All processed counts","Processed count matrix for the Tabula Muris Senis droplet All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/All_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet All rowData","Gene annotation for the Tabula Muris Senis droplet All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/All_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet All PCA","PCA representation for the Tabula Muris Senis droplet All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/All_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet All UMAP","UMAP representation for the Tabula Muris Senis droplet All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/All_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Large_Intestine colData","Cell metadata for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet Large_Intestine counts","Count matrix for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet Large_Intestine processed counts","Processed count matrix for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet Large_Intestine rowData","Gene annotation for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet Large_Intestine PCA","PCA representation for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Large_Intestine tSNE","tSNE representation for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Large_Intestine UMAP","UMAP representation for the Tabula Muris Senis droplet Large_Intestine scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Large_Intestine_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Pancreas colData","Cell metadata for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet Pancreas counts","Count matrix for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet Pancreas processed counts","Processed count matrix for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet Pancreas rowData","Gene annotation for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet Pancreas PCA","PCA representation for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Pancreas tSNE","tSNE representation for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Pancreas UMAP","UMAP representation for the Tabula Muris Senis droplet Pancreas scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Pancreas_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis droplet Trachea colData","Cell metadata for the Tabula Muris Senis droplet Trachea scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Trachea_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis droplet Trachea counts","Count matrix for the Tabula Muris Senis droplet Trachea scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Trachea_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis droplet Trachea processed counts","Processed count matrix for the Tabula Muris Senis droplet Trachea scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-droplet/Trachea_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
