"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"Tabula Muris Senis FACS All colData","Sample metadata for the Tabula Muris Senis FACS All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/All_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS All counts","Count matrix for the Tabula Muris Senis FACS All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/All_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS All processed counts","Processed count matrix for the Tabula Muris Senis FACS All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/All_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS All rowData","Gene annotation for the Tabula Muris Senis FACS All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/All_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS All PCA","PCA representation for the Tabula Muris Senis FACS All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/All_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS All UMAP","UMAP representation for the Tabula Muris Senis FACS All scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/All_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Processed_files_to_use_with_scanpy_/8273102?file=23937842","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Aorta colData","Sample metadata for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Aorta counts","Count matrix for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_counts.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Aorta processed counts","Processed count matrix for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_processed.h5","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","H5File","H5File"
"Tabula Muris Senis FACS Aorta rowData","Gene annotation for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_rowdata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
"Tabula Muris Senis FACS Aorta PCA","PCA representation for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_pca.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Aorta tSNE","tSNE representation for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_tsne.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Aorta UMAP","UMAP representation for the Tabula Muris Senis FACS Aorta scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Aorta_umap.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","matrix","Rds"
"Tabula Muris Senis FACS Kidney colData","Sample metadata for the Tabula Muris Senis FACS Kidney scRNA-seq dataset","TabulaMurisSenisData/tabula-muris-senis-facs/Kidney_coldata.rds","3.14","GRCm38","HDF5","https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728","","Mus musculus","10090",NA,"The Tabula Muris Consortium","Charlotte Soneson <charlottesoneson@gmail.com>","DFrame","Rds"
